type,salutation,firstName,lastName,parentAccount,accountType,phone,billingStreet,postalCode,mainCategory,subCategory,minorCategory,email
Advertiser,Mrs.,Test,Charity ,,Charity,020 0000000000,billing street,W8 5TT,36 - FINANCE,36.03 - SAVINGS,36.03.00 - SAVINGS,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Mr.,Test,Client ,,Client,020 0000000000,billing street,W8 5TT,36 - FINANCE,36.03 - SAVINGS,36.03.00 - SAVINGS,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Mr.,Test,Direct Adv,,Direct Advertiser,020 0000000000,billing street,W8 5TT,36 - FINANCE,36.03 - SAVINGS,36.03.00 - SAVINGS,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Dr.,Test,Brand Adv ,Client - 1439974091775,Brand,020 0000000000,billing street,BT60JH,04 - DRINK,04.01 - ALCOHOLIC DRINKS,04.01.05 - ALCOHOL FREE BEER & LAGER,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Mr.,Test,Client ,,Client,020 0000000000,billing street,W8 5TT,36 - FINANCE,36.03 - SAVINGS,36.03.00 - SAVINGS,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Mr.,Test,Direct Adv,,Direct Advertiser,020 0000000000,billing street,W8 5TT,36 - FINANCE,36.03 - SAVINGS,36.03.00 - SAVINGS,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Mrs.,Test,Charity ,,Charity,020 0000000000,billing street,W8 5TT,36 - FINANCE,36.03 - SAVINGS,36.03.00 - SAVINGS,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Mr.,Test,DMGT Group Adv ,,DMGT Group,020 0000000000,billing street,W8 5TT,04 - DRINK,04.01 - ALCOHOLIC DRINKS,04.01.05 - ALCOHOL FREE BEER & LAGER,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Dr.,Test,Brand Adv ,Direct Adv - 1439974291719,Brand,020 0000000000,billing street,BT60JH,04 - DRINK,04.01 - ALCOHOLIC DRINKS,04.01.05 - ALCOHOL FREE BEER & LAGER,srinivasa.kuncha@mailnewpapers.co.uk
Advertiser,Ms.,Test,Private Adv,,Private Advertiser,020 0000000000,billing street,W8 5TT,02 - FOOD,02.01 - BAKERY GOODS,02.01.05 - BISCUITS,srinivasa.kuncha@mailnewpapers.co.uk
